DraftID,Draft_Year,Draft_Round,Draft_Number
12114,Undrafted,Undrafted,Undrafted
12115,2017,2,41
12116,2014,1,18
12117,2009,1,13
12118,2019,1,13
12119,2011,2,35
12120,Undrafted,Undrafted,Undrafted
12121,2017,1,24
12122,2016,2,34
12123,2012,1,17
12124,2009,1,4
12125,1985,2,35
12126,1990,1,11
12127,Undrafted,Undrafted,Undrafted
12128,2016,2,60
12129,1998,1,23
12130,2006,1,4
12131,2012,2,41
12132,2001,1,2
12133,1998,2,47
12134,1995,2,47
12135,2015,1,24
12136,Undrafted,Undrafted,Undrafted
12137,2005,2,58
12138,Undrafted,Undrafted,Undrafted
12139,2004,2,50
12140,2011,2,52
12141,1988,2,47
12142,Undrafted,Undrafted,Undrafted
12143,Undrafted,Undrafted,Undrafted
12144,1991,1,17
12145,2009,1,22
12146,2013,1,2
12147,2004,1,22
12148,1993,1,8
12149,1998,1,5
12150,1987,2,39
12151,2018,2,52
12152,Undrafted,Undrafted,Undrafted
12153,Undrafted,Undrafted,Undrafted
12154,2002,2,32
12155,1988,2,29
12156,1996,1,12
12157,Undrafted,Undrafted,Undrafted
12158,1989,1,26
12159,2001,1,12
12160,1998,1,27
12161,2017,2,49
12162,2005,2,39
12163,1999,1,26
12164,1994,2,46
12165,2016,1,17
12166,1982,4,78
12167,1999,1,6
12168,Undrafted,Undrafted,Undrafted
12169,1992,1,7
12170,Undrafted,Undrafted,Undrafted
12171,1996,1,19
12172,2008,2,32
12173,1999,2,36
12174,1985,1,2
12175,2009,1,28
12176,Undrafted,Undrafted,Undrafted
12177,2005,1,29
12178,Undrafted,Undrafted,Undrafted
12179,2018,1,7
12180,Undrafted,Undrafted,Undrafted
12181,2017,2,33
12182,2010,1,4
12183,Undrafted,Undrafted,Undrafted
12184,1994,1,23
12185,2012,2,40
12186,2006,2,60
12187,Undrafted,Undrafted,Undrafted
12188,Undrafted,Undrafted,Undrafted
12189,Undrafted,Undrafted,Undrafted
12190,1988,1,11
12191,2001,2,32
12192,1999,1,14
12193,Undrafted,Undrafted,Undrafted
12194,Undrafted,Undrafted,Undrafted
12195,1988,1,10
12196,1990,1,9
12197,2015,1,6
12198,2003,2,41
12199,Undrafted,Undrafted,Undrafted
12200,2010,2,54
12201,2015,2,35
12202,2007,1,23
12203,2010,1,12
12204,1985,1,4
12205,Undrafted,Undrafted,Undrafted
12206,Undrafted,Undrafted,Undrafted
12207,2011,Undrafted,Undrafted
12208,Undrafted,Undrafted,Undrafted
12209,Undrafted,Undrafted,Undrafted
12210,2002,1,1
12211,2005,1,12
12212,2007,1,6
12213,1994,1,14
12214,Undrafted,Undrafted,Undrafted
12215,Undrafted,Undrafted,Undrafted
12216,Undrafted,Undrafted,Undrafted
12217,Undrafted,Undrafted,Undrafted
12218,2017,1,10
12219,2014,1,13
12220,Undrafted,Undrafted,Undrafted
12221,Undrafted,Undrafted,Undrafted
12222,2001,1,19
12223,1991,2,51
12224,2003,1,17
12225,2003,2,42
12226,1994,2,54
12227,Undrafted,Undrafted,Undrafted
12228,2018,1,16
12229,2016,2,43
12230,2019,1,1
12231,Undrafted,Undrafted,Undrafted
12232,2003,1,22
12233,1996,1,20
12234,Undrafted,Undrafted,Undrafted
