StatsID,AvgPoints,AvgRebounds,AvgAssists,Net_Rating,Games_Played,OffRebounds,DefRebounds,TeamPlays,ShootingEff,AssistPct,Season_ID
401196,7.3,2.1,1.0,-9.8,38,0.049,0.073,0.196,0.494,0.094,301196
401197,8.8,7.6,1.1,-3.5,50,0.12300000000000001,0.171,0.193,0.439,0.064,301197
401198,7.5,2.5,1.9,-3.0,33,0.023,0.14300000000000002,0.221,0.499,0.2,301198
401199,5.1,6.4,0.4,-0.6,50,0.138,0.226,0.13,0.544,0.031,301199
401200,0.0,0.0,0.0,-14.7,2,0.0,0.0,0.0,0.0,0.0,301200
401201,9.3,3.5,1.3,-9.1,47,0.065,0.09699999999999999,0.196,0.498,0.09300000000000001,301201
401202,1.6,1.8,0.0,-3.4,26,0.113,0.17800000000000002,0.139,0.473,0.0,301202
401203,1.6,0.9,0.3,0.1,12,0.027000000000000003,0.136,0.14400000000000002,0.402,0.077,301203
401204,2.1,3.0,0.3,2.2,46,0.098,0.201,0.094,0.505,0.042,301204
401205,0.0,0.0,1.5,66.6,2,0.0,0.0,0.073,0.0,0.5,301205
401206,16.0,7.8,1.7,-1.5,45,0.106,0.18600000000000003,0.261,0.51,0.106,301206
401207,8.3,6.5,1.8,5.1,43,0.095,0.15,0.16,0.461,0.1,301207
401208,8.9,3.4,1.6,1.4,48,0.032,0.125,0.153,0.591,0.10099999999999999,301208
401209,2.4,0.7,0.9,-12.1,33,0.022000000000000002,0.078,0.226,0.42,0.23,301209
401210,0.7,0.3,0.3,-2.0,3,0.0,0.053,0.192,0.10099999999999999,0.067,301210
401211,1.2,0.7,0.2,5.7,19,0.102,0.11599999999999999,0.174,0.525,0.10300000000000001,301211
401212,0.0,0.0,0.0,-200.0,1,0.0,0.0,1.0,0.0,0.0,301212
401213,17.5,3.7,2.6,4.2,27,0.011000000000000001,0.10800000000000001,0.22399999999999998,0.542,0.11800000000000001,301213
401214,18.4,5.9,2.1,5.7,47,0.057999999999999996,0.153,0.28300000000000003,0.523,0.11800000000000001,301214
401215,21.1,7.1,6.0,4.4,50,0.044000000000000004,0.193,0.295,0.5429999999999999,0.324,301215
401216,9.8,5.9,1.1,8.2,50,0.08800000000000001,0.168,0.18600000000000003,0.529,0.078,301216
401217,6.4,1.3,2.0,12.7,50,0.021,0.068,0.19899999999999998,0.55,0.223,301217
401218,2.8,2.0,0.6,-6.6,42,0.076,0.14,0.18,0.401,0.10300000000000001,301218
401219,21.7,4.9,8.7,-0.1,50,0.035,0.10800000000000001,0.26899999999999996,0.519,0.39799999999999996,301219
401220,2.8,1.0,1.3,-7.5,35,0.024,0.096,0.21100000000000002,0.449,0.305,301220
401221,5.0,1.8,2.1,-3.8,44,0.035,0.095,0.172,0.552,0.23199999999999998,301221
401222,12.6,8.1,1.4,1.3,49,0.10400000000000001,0.214,0.214,0.528,0.091,301222
401223,11.2,2.1,2.9,-1.0,49,0.013000000000000001,0.075,0.19399999999999998,0.529,0.187,301223
